LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"260760 Ilha de Itamaracá";-;1;-;-;-;-;1
"260720 Ipojuca";2;-;-;-;2;-;4
"260765 Itambé";1;-;-;-;-;-;1
"260775 Itapissuma";-;-;1;1;-;-;2
"260780 Itaquitinga";2;-;-;-;-;-;2
"260790 Jaboatão dos Guararapes";73;51;39;55;31;31;280
"260820 Joaquim Nabuco";-;2;-;1;-;-;3
"260845 Lagoa do Carro";-;-;-;-;-;1;1
"260870 Lagoa dos Gatos";2;-;-;-;-;-;2
"260880 Lajedo";-;1;-;-;-;-;1
"260890 Limoeiro";-;1;-;-;-;-;1
"260900 Macaparana";1;1;-;-;-;-;2
"260940 Moreno";7;2;3;5;9;4;30
"260950 Nazaré da Mata";-;-;-;1;2;-;3
"260960 Olinda";33;6;27;53;43;36;198
"261000 Palmares";6;1;-;1;6;-;14
"261020 Panelas";1;-;-;-;2;-;3
"261060 Paudalho";2;-;-;-;1;1;4
"261070 Paulista";12;14;10;21;32;6;95
"261090 Pesqueira";-;-;1;-;-;1;2
"261130 Pombos";1;-;-;1;1;-;3
"261140 Primavera";3;1;-;1;1;1;7
"261150 Quipapá";-;-;-;1;-;-;1
"261160 Recife";97;134;59;132;111;86;619
"261170 Riacho das Almas";2;-;-;-;-;-;2
"261180 Ribeirão";1;7;-;-;2;4;14
"261190 Rio Formoso";-;-;-;-;1;-;1
"261230 Saloá";-;-;-;-;-;1;1
"261250 Santa Cruz do Capibaribe";-;-;-;2;-;-;2
"261300 São Bento do Una";2;-;-;2;-;-;4
"261310 São Caitano";1;-;-;2;-;-;3
"261340 São José da Coroa Grande";-;1;-;-;-;-;1
"261370 São Lourenço da Mata";10;14;11;17;9;3;64
"261380 São Vicente Ferrer";-;-;1;-;-;-;1
"261390 Serra Talhada";-;-;-;1;-;-;1
"261420 Sirinhaém";-;-;1;-;-;-;1
"261450 Surubim";-;-;-;1;-;-;1
"261470 Tacaimbó";-;1;-;-;-;-;1
"261485 Tamandaré";1;-;-;-;-;-;1
"261530 Timbaúba";-;-;-;1;-;-;1
"261540 Toritama";-;1;-;-;2;-;3
"261560 Trindade";-;-;-;-;1;-;1
"261600 Venturosa";1;-;-;-;-;-;1
"261640 Vitória de Santo Antão";1;2;4;4;25;4;40
"270030 Arapiraca";1;-;-;-;1;-;2
"270040 Atalaia";1;-;-;1;7;1;10
"270060 Barra de São Miguel";-;1;-;-;-;-;1
"270070 Batalha";-;-;-;1;-;-;1
"270090 Belo Monte";-;-;-;-;-;1;1
"270100 Boca da Mata";-;2;-;1;-;-;3
"270110 Branquinha";-;-;-;-;1;1;2
"270120 Cacimbinhas";-;-;-;-;-;1;1
"270135 Campestre";-;-;-;-;1;-;1
"270140 Campo Alegre";-;-;-;2;-;-;2
"270160 Canapi";-;-;-;1;-;-;1
"270170 Capela";3;4;2;-;2;-;11
"270210 Colônia Leopoldina";-;-;-;-;1;2;3
